rsu_id,rsu_position_x,rsu_position_y,vehicle_id,vehicle_type,speed,edge_id,lane_id,lane_position,vehicles_ahead_count,same_direction_ahead,distance_to_traffic_light,next_traffic_light,traffic_light_state,time_to_red_light,edge_occupancy_percentage,battery_charge,battery_capacity,battery_percentage,sim_time,position,rsu_position,collection_timestamp
RSU_Dhormotola,-194.59,27.16,R2_Easybike_ER-02B,EV,11.400280145378002,E3,E3_0,1037.199721851029,3,2,853.1,J1,rrrGGGrr,35.0,8.73,1389.3,3000.0,46.31,120.0,"(-209.44359744409275, 105.1274822132748)","(-194.59, 27.16)",2025-12-01T20:48:27Z
RSU_Dhormotola,-194.59,27.16,R3_Easybike_ER-02B,EV,13.575574037828483,E3,E3_1,926.6429538811067,4,1,963.6,J1,rrrGGGrr,35.0,8.73,1378.96,3000.0,45.965333333333334,120.0,"(-207.39924861498793, 114.34328187552138)","(-194.59, 27.16)",2025-12-01T20:48:27Z
RSU_Dhormotola,-194.59,27.16,R1_Default_EV,EV,13.800950243580155,E3,E3_0,1395.0250819384366,1,1,495.3,J1,rrrGGGrr,30.0,8.73,17336.12,35000.0,49.531771428571425,125.0,"(-205.78447593273484, 76.62684409894248)","(-194.59, 27.16)",2025-12-01T20:48:35Z
RSU_Dhormotola,-194.59,27.16,R1_Easybike_ER-02B,EV,13.859794510970824,E3,E3_0,1556.2059859806043,0,0,334.1,J1,rrrGGGrr,30.0,8.73,1322.18,3000.0,44.07266666666667,125.0,"(-204.13624028767956, 63.78885347713579)","(-194.59, 27.16)",2025-12-01T20:48:35Z
RSU_Dhormotola,-194.59,27.16,R1_Small_Easybike_V12,EV,7.302115860949271,E3,E3_0,862.607782938292,8,4,1027.7,J1,rrrGGGrr,30.0,8.73,930.34,2000.0,46.517,125.0,"(-211.22897430846373, 119.03365607254523)","(-194.59, 27.16)",2025-12-01T20:48:35Z
RSU_Dhormotola,-194.59,27.16,R2_Default_EV,EV,12.992729317372799,E3,E3_1,954.4746649443468,6,2,935.8,J1,rrrGGGrr,30.0,8.73,17384.09,35000.0,49.66882857142857,125.0,"(-207.11449435003087, 112.12649789765493)","(-194.59, 27.16)",2025-12-01T20:48:35Z
RSU_Dhormotola,-194.59,27.16,R2_Easybike_ER-02B,EV,11.060477088935823,E3,E3_0,1093.7528914936468,3,2,796.5,J1,rrrGGGrr,30.0,8.73,1387.01,3000.0,46.233666666666664,125.0,"(-208.86528482945798, 100.62304624537983)","(-194.59, 27.16)",2025-12-01T20:48:35Z
RSU_Dhormotola,-194.59,27.16,R3_Default_EV,EV,12.709060274622438,E3,E3_1,857.0400188471716,9,4,1033.2,J1,rrrGGGrr,30.0,8.73,17389.3,35000.0,49.68371428571428,125.0,"(-208.11137632281762, 119.88712612013556)","(-194.59, 27.16)",2025-12-01T20:48:35Z
RSU_Dhormotola,-194.59,27.16,R3_Easybike_ER-02B,EV,13.693582230806351,E3,E3_1,995.1921595536845,4,1,895.1,J1,rrrGGGrr,30.0,8.73,1372.48,3000.0,45.74933333333334,125.0,"(-206.69790191624082, 108.8833667274675)","(-194.59, 27.16)",2025-12-01T20:48:35Z
RSU_Dhormotola,-194.59,27.16,R1_Default_EV,EV,13.620770861604251,E3,E3_0,1463.0914417408192,1,1,427.2,J1,rrrGGGrr,25.0,9.13,17331.71,35000.0,49.519171428571426,130.0,"(-205.08842945550393, 71.20538741958984)","(-194.59, 27.16)",2025-12-01T20:48:43Z
RSU_Dhormotola,-194.59,27.16,R1_Easybike_ER-02B,EV,13.4816385531798,E3,E3_0,1624.4816319688996,0,0,265.8,J1,rrrGGGrr,25.0,9.13,1319.21,3000.0,43.97366666666667,130.0,"(-203.43805365027464, 58.35072724187026)","(-194.59, 27.16)",2025-12-01T20:48:43Z
RSU_Dhormotola,-194.59,27.16,R1_Electric_Rickshaw_V8,EV,7.393175606238656,E3,E3_0,872.2192340021512,10,5,1018.1,J1,rrrGGGrr,25.0,9.13,1179.19,2500.0,47.16760000000001,130.0,"(-211.13068762656243, 118.26810807321462)","(-194.59, 27.16)",2025-12-01T20:48:43Z
